video_id,influencer,platform,main_topic,content_type,content_format,nj_relevance_score,local_vs_universal,tone,target_audience,production_quality,originality_score,analysis_confidence
U_u6vALTztg,Jessica Alexandra _lifestylejessica,youtube,Bermuda Travel and Jewelry,lifestyle,vlog,0.1,universal,casual,"Women interested in travel, fashion, jewelry, and lifestyle content; potential tourists looking for vacation ideas; followers of Jessica Alexandra.",medium,0.4,0.9
WCDUWrTRvto,Jessica Alexandra _lifestylejessica,youtube,Italy Travel and Wedding,lifestyle,vlog,0.2,universal,casual,"Women interested in travel, lifestyle content, weddings, and Italian culture. Likely also interested in New Jersey content, given her TikTok handle.",medium,0.4,0.9
zqSbCvaciOs,Jessica Alexandra _lifestylejessica,youtube,New Jersey daily life,lifestyle,vlog,0.8,regional,casual,"New Jersey residents (especially those in Central NJ) interested in local attractions, shopping, and lifestyle content. Also, individuals interested in home decor and Etsy.",medium,0.4,0.9
-lmer_OGXO4,Joe Bartolozzi,youtube,Zombie Survival Quiz,entertainment,reaction,0.1,universal,humorous,"Young adults and older teenagers interested in gaming, online quizzes, and zombie-related content. Fans of Joe Bartolozzi's other content.",medium,0.3,0.9
0V_DB_NM3IY,Joe Bartolozzi,youtube,Streaming career accessibility,opinion,talking_head,0.2,universal,informative,"Aspiring streamers, current streamers, viewers interested in streaming culture.",medium,0.5,0.8
2jrcSzkWAHA,Joe Bartolozzi,youtube,Fart Lethality & Chime Promo,entertainment,talking_head,0.1,universal,humorous,"Young adults and millennials interested in science, humor, and convenient banking solutions.",medium,0.5,0.8
6EKVp3w8y4M,Joe Bartolozzi,youtube,Jynxzi's Success and Pressure,opinion,talking_head,0.2,national,serious,"Young adults, gamers, streamers, aspiring content creators, those interested in success and the challenges it presents.",medium,0.6,0.8
b9qflRJRgNc,Joe Bartolozzi,youtube,AI Prank Video Reactions,entertainment,reaction,0.2,universal,humorous,"Young adults and teens interested in internet humor, gaming, and reaction videos; likely familiar with meme culture and AI trends. Followers of Joe Bartolozzi's other content.",medium,0.3,0.8
B9YaZSGcWh0,Joe Bartolozzi,youtube,North Korea analysis/commentary,entertainment,talking_head,0.05,universal,serious,"Young adults interested in global politics, history, and potentially counter-culture or edgy content.",medium,0.4,0.9
BSfFEsS71LQ,Joe Bartolozzi,youtube,Mall Car Chase Reaction,reaction,reaction,0.3,national,casual,"Young adults interested in crime, viral videos, and Joe Bartolozzi's personality.",medium,0.2,0.9
bVBIFb6LGrs,Joe Bartolozzi,youtube,Historical Incest Royal Families,educational,talking_head,0.1,universal,informative,"History enthusiasts, students interested in European history, viewers interested in genealogy and royal families, users of Forgotten Diaries",medium,0.3,0.9
C3kUc0rM39Q,Joe Bartolozzi,youtube,Airline business analysis,educational,talking_head,0.1,universal,informative,"Individuals interested in business, economics, and the airline industry, possibly fans of MagnatesMedia.",medium,0.6,0.8
chHiJhbMgis,Joe Bartolozzi,youtube,Knock-off product testing,entertainment,talking_head,0.2,universal,humorous,"Young adults interested in online trends, product reviews, and humorous content; viewers familiar with Joe Bartolozzi's style.",medium,0.6,0.8
DJqbidtgLZ0,Joe Bartolozzi,youtube,AI and potential harm,entertainment,talking_head,0.1,universal,provocative,"Young adults and tech enthusiasts interested in AI, technology, and potentially conspiracy theories. Also, viewers likely to use or consider using Cash App.",medium,0.4,0.9
ErkH_fLbvCk,Joe Bartolozzi,youtube,Driver's License Acquisition Woes,entertainment,talking_head,0.7,regional,humorous,"Young adults and teenagers in New Jersey, especially those who are currently going through or have recently gone through the process of getting a driver's license. Also appeals to viewers interested in humorous commentary and relatable content.",medium,0.5,0.8
ff9Wdtd3hlw,Joe Bartolozzi,youtube,Protein Health Scams Debunked,opinion,talking_head,0.1,universal,informative,"Young adults and adults interested in fitness, health, and nutrition, skeptical of marketing claims.",medium,0.6,0.9
JHhaQhwDZD8,Joe Bartolozzi,youtube,Chatters Cars Review,entertainment,vlog,0.7,local,humorous,"Young adults and car enthusiasts in New Jersey, particularly those familiar with Joe Bartolozzi's style and humor, and followers of Yusuf7n.",medium,0.6,0.8
lTm2WWCWQEg,Joe Bartolozzi,youtube,Comedy quality decline analysis,opinion,talking_head,0.2,universal,provocative,"Young adults interested in comedy, social commentary, and online video essays; fans of Joe Bartolozzi's other content; viewers interested in media criticism.",medium,0.5,0.8
nFx9NAX8MqY,Joe Bartolozzi,youtube,Mystery Snack Box Review,entertainment,vlog,0.1,universal,humorous,"Young adults interested in food, snacks, and online entertainment; viewers of Joe Bartolozzi's other content.",medium,0.3,0.8
nG4iMuC5wfg,Joe Bartolozzi,youtube,Anime movie bathroom incident,entertainment,reaction,0.1,universal,humorous,"Young adults, fans of Penguinz0, viewers interested in internet humor and commentary.",medium,0.3,0.9
nK-QhHji5rM,Joe Bartolozzi,youtube,Superpower drawbacks and analysis,entertainment,talking_head,0.1,universal,humorous,"Young adults interested in comic books, superheroes, and internet culture; viewers familiar with online video essays.",medium,0.6,0.9
oxlhbvdKdTY,Joe Bartolozzi,youtube,Friendship betrayal and drama,entertainment,talking_head,0.3,universal,serious,"Young adults and teenagers interested in online drama, social dynamics, and influencer culture, particularly those following T1J.",medium,0.6,0.8
Q4iK6hy4QSs,Joe Bartolozzi,youtube,Playground altercation reaction/commentary,reaction,talking_head,0.1,universal,provocative,"Young adults, online video consumers, individuals interested in social commentary and internet drama.",medium,0.4,0.9
qeYQAtBvSms,Joe Bartolozzi,youtube,Reacting to Church Incident,reaction,talking_head,0.1,universal,humorous,"Young adults interested in internet culture, viral videos, and Joe Bartolozzi's commentary.",medium,0.3,0.8
rxGBLXEE5B8,Joe Bartolozzi,youtube,Worst Movie Universes,entertainment,talking_head,0.1,universal,humorous,"Young adults and older teens interested in movies, pop culture, and online humor; existing fans of Joe Bartolozzi and DerekFDB.",medium,0.6,0.9
SoAIk_wCITw,Joe Bartolozzi,youtube,Worst YouTube Video Trends,entertainment,talking_head,0.1,universal,humorous,"Young adults and teenagers interested in YouTube culture and online trends, familiar with internet humor.",medium,0.4,0.8
t1t9A4eAR9w,Joe Bartolozzi,youtube,Doritos Flavor Taste Test,entertainment,vlog,0.1,universal,humorous,"Young adults and teenagers interested in food reviews, snack content, and the influencer's personality. Also, viewers interested in gaming, philosophy, and other content based on the channel links.",medium,0.3,0.9
tBLi_ERJHNU,Joe Bartolozzi,youtube,Amateur vs. Professional Competition,entertainment,reaction,0.1,universal,humorous,"Young adults interested in gaming, YouTube culture, and competitive entertainment. Likely fans of MrBeast or similar content creators.",medium,0.4,0.9
tjS41ap8ewY,Joe Bartolozzi,youtube,All-inclusive cruise earnings potential,entertainment,talking_head,0.1,universal,casual,"Young adults interested in travel, alternative income, and online content.",medium,0.4,0.7
tkVTXiK0LIo,Joe Bartolozzi,youtube,Labubu toy craze critique,opinion,talking_head,0.2,universal,critical,"Young adults and Gen Z interested in internet culture, pop culture trends, and potentially philosophical discussions on consumerism.",medium,0.6,0.8
t_sQKMU_7nw,Joe Bartolozzi,youtube,Reacting to haunted homes,reaction,reaction,0.2,universal,humorous,"Gen Z and Millennial viewers interested in horror, internet personalities, and reaction videos",medium,0.3,0.9
UCGRryxFxjXbVAtBPE9EbyMg,Joe Bartolozzi,youtube,Internet culture and comedy reactions,reaction,talking_head,0.3,universal,humorous,Gen Z and Millennial social media users interested in internet humor,medium,0.6,0.8
UdhjRIKB_9Q,Joe Bartolozzi,youtube,Horror short film reaction,reaction,reaction,0.1,universal,casual,"Gen Z and Millennial viewers interested in internet culture, horror, and personality-driven commentary",medium,0.4,0.9
VTjJjmp1JDc,Joe Bartolozzi,youtube,Critique of humanoid robotics,reaction,reaction,0.1,universal,humorous,"Gen Z and Millennial internet users interested in gaming culture, tech skepticism, and high-energy commentary",medium,0.4,0.9
xKk3fuDVwKo,Joe Bartolozzi,youtube,Reaction to North Sentinel Island,reaction,reaction,0.1,universal,casual,"Gen Z and Millennial viewers interested in internet lore, commentary, and personality-driven reactions",medium,0.4,0.9
