video_id,sentiment_score,primary_emotion,rhetorical_mode,authenticity_score,controversy_potential,source
7548246323812650253,0.8,anticipation,persuasive,0.6,0.1,claude_realtime
7548513153861127437,0.85,joy,persuasive,0.4,0.1,claude_realtime
7550718135893036343,0.9,joy,persuasive,0.7,0.1,claude_realtime
7551473462578072846,0.85,joy,persuasive,0.7,0.0,claude_realtime
7551834753729629454,0.8,joy,persuasive,0.3,0.0,claude_realtime
7552199259769064718,0.8,joy,persuasive,0.6,0.1,claude_realtime
7552569020910685454,0.9,joy,entertaining,0.7,0.0,claude_realtime
7552937576265534733,0.85,joy,persuasive,0.3,0.1,claude_realtime
7553349576929840398,0.8,anticipation,persuasive,0.3,0.1,claude_realtime
7553825304666574093,0.85,joy,persuasive,0.4,0.1,claude_realtime
7554451458133986573,0.7,anticipation,persuasive,0.4,0.1,claude_realtime
7554549923480456461,0.85,anticipation,entertaining,0.7,0.1,claude_realtime
7554799018929442062,0.8,anticipation,persuasive,0.4,0.1,claude_realtime
7555554883550678285,0.9,anticipation,persuasive,0.3,0.1,claude_realtime
7556076350541450510,0.85,joy,persuasive,0.6,0.1,claude_realtime
7556658507047554359,0.9,joy,persuasive,0.6,0.1,claude_realtime
7557071240121437495,0.85,joy,persuasive,0.8,0.1,claude_realtime
7557428838045617422,0.8,anticipation,persuasive,0.4,0.1,claude_realtime
7558182707822382350,0.85,joy,persuasive,0.4,0.0,claude_realtime
7558551606640315661,0.2,surprise,entertaining,0.8,0.1,claude_realtime
7558908328546520334,0.9,anticipation,persuasive,0.6,0.1,claude_realtime
7559389343694048525,0.8,anticipation,persuasive,0.6,0.1,claude_realtime
7560129044075826445,0.8,joy,entertaining,0.6,0.1,claude_realtime
7560764647956073742,0.9,joy,persuasive,0.4,0.2,claude_realtime
7561482271060921613,0.8,joy,entertaining,0.6,0.1,claude_realtime
7562227927744580877,0.85,joy,persuasive,0.6,0.1,claude_realtime
7563359168099388685,0.8,anticipation,persuasive,0.7,0.1,claude_realtime
7563732553421671694,0.9,joy,persuasive,0.4,0.1,claude_realtime
7564093135333248270,0.8,joy,persuasive,0.4,0.1,claude_realtime
7564450157283101966,0.9,anticipation,informative,0.8,0.05,claude_realtime
7564856174839975223,0.9,joy,persuasive,0.8,0.2,claude_realtime
7564950765312265485,0.8,anticipation,persuasive,0.6,0.1,claude_realtime
7565207124955942199,0.8,joy,entertaining,0.4,0.1,claude_realtime
7565577121960103181,0.7,joy,entertaining,0.6,0.1,claude_realtime
7565623266602175757,0.6,joy,entertaining,0.7,0.1,claude_realtime
7565970844959132941,0.85,joy,persuasive,0.6,0.1,claude_realtime
7566822153694317838,0.8,joy,entertaining,0.8,0.1,claude_realtime
7567083431029378359,0.8,joy,persuasive,0.6,0.1,claude_realtime
7567421023373643022,0.85,joy,informative,0.7,0.05,claude_realtime
7567800994319338807,0.6,anticipation,entertaining,0.6,0.1,claude_realtime
7568958446872038669,0.8,joy,entertaining,0.7,0.3,claude_realtime
7570063006206266679,0.9,joy,persuasive,0.3,0.1,claude_realtime
7571138196793199927,0.7,joy,persuasive,0.4,0.1,claude_realtime
7571164427710614839,0.85,joy,persuasive,0.4,0.1,claude_realtime
7571901998715374903,0.8,joy,persuasive,0.6,0.1,claude_realtime
7572281645282135309,0.95,joy,persuasive,0.8,0.05,claude_realtime
7573748632856382734,0.8,joy,persuasive,0.4,0.0,claude_realtime
7574138201900698894,0.9,joy,entertaining,0.6,0.1,claude_realtime
7574262143026056462,0.85,anticipation,persuasive,0.7,0.1,claude_realtime
7574866621450161463,0.9,joy,entertaining,0.7,0.1,claude_realtime
MS4wLjABAAAA0kl7-RW6fo1CwS3lUfZ9sEdXymm23o0SseevlT025PQ3g7-nKfRchCuJP7Fszozo,0.0,neutral,informative,0.0,0.0,claude_realtime
7568108629547617566,-0.3,sadness,persuasive,0.7,0.4,claude_realtime
7568200709955439903,0.8,joy,inspirational,0.7,0.1,claude_realtime
7568470234152176926,0.7,anticipation,persuasive,0.7,0.6,claude_realtime
7568547084660411679,-0.6,anticipation,confrontational,0.7,0.7,claude_realtime
7568621976474930463,0.0,anticipation,informative,0.7,0.2,claude_realtime
7568667302174952735,0.7,joy,informative,0.8,0.3,claude_realtime
7568823173408476446,0.1,anticipation,persuasive,0.7,0.2,claude_realtime
7568866408138902814,-0.3,fear,informative,0.8,0.3,claude_realtime
7568876037120036126,0.7,trust,inspirational,0.7,0.4,claude_realtime
7569126219128622366,0.0,anticipation,informative,0.7,0.6,claude_realtime
7569302839898557726,0.1,anticipation,informative,0.8,0.3,claude_realtime
7569407565860277535,0.3,anticipation,inspirational,0.7,0.2,claude_realtime
7569597326482771230,0.2,anticipation,informative,0.7,0.3,claude_realtime
7569597768612859167,0.1,anticipation,informative,0.7,0.6,claude_realtime
7569986140053261598,0.6,joy,entertaining,0.8,0.2,claude_realtime
7570169233380773151,-0.2,anticipation,informative,0.7,0.6,claude_realtime
7570348193381092638,0.6,joy,entertaining,0.8,0.0,claude_realtime
7570383435672325406,-0.3,sadness,entertaining,0.8,0.2,claude_realtime
